
ESTACION_ID;FECHA_MEDICION;CN_3;VIENTO_RAF;VIENTO_VEL;CN_4;LLUVIA_DIARIO;LLUVIA_FORM;SOL_DURACION;NIEVE_PROF;AVG_NUBES;AVG_PR_VAPOR;AVG_PR_ATM;AVG_TEMP;AVG_HUM;TEMP_MAX;TEMP_MIN;TEMP_MIN_BAJOSUELO;FINAL_REG
       3379;20100101;   10;  10.7;   1.6;   10;   4.3;   8;    0.000;   0;   7.3;   7.0;  931.90;    3.1;   91.00;    4.9;    0.1;    0.0;eor
       3379;20100102;   10;  11.6;   4.2;   10;   0.7;   7;    0.600;   4;   6.0;   4.4;  950.80;   -2.5;   86.00;    0.1;   -5.3;   -7.0;eor
       3379;20100103;   10;   8.3;   2.8;   10;   0.0;   0;    3.300;   4;   4.8;   3.1;  956.50;   -3.6;   68.00;   -0.3;   -5.8;   -7.4;eor
       3379;20100104;   10;   4.4;   1.6;   10;   0.0;   0;    7.600;   4;   1.9;   3.0;  951.30;   -4.9;   72.00;   -0.1;   -8.5;  -10.6;eor
       3379;20100105;   10;   6.0;   2.2;   10;   0.0;   7;    0.000;   2;   7.7;   3.3;  943.60;   -6.7;   88.00;   -5.3;   -9.6;  -10.4;eor
       3379;20100106;   10;   4.2;   1.4;   10;   0.4;   7;    0.000;   2;   8.0;   3.7;  939.70;   -4.6;   84.00;   -2.9;   -6.6;   -6.2;eor
       3379;20100107;   10;   4.8;   1.5;   10;   1.6;   7;    4.200;   3;   6.0;   4.2;  946.10;   -2.4;   82.00;    0.5;   -3.9;   -5.6;eor
       3379;20100108;   10;   8.1;   3.2;   10;   0.4;   8;    0.000;   4;   8.0;   4.4;  945.40;   -3.5;   93.00;   -2.8;   -4.1;   -4.1;eor
       3379;20100109;   10;   5.0;   2.0;   10;   0.6;   8;    0.000;   4;   8.0;   4.2;  942.20;   -4.4;   95.00;   -3.8;   -4.9;   -4.7;eor
       3379;20100110;   10;   5.5;   2.2;   10;   1.4;   7;    0.000;   4;   7.9;   4.0;  948.00;   -4.1;   90.00;   -3.4;   -4.8;   -4.9;eor
       3379;20100111;   10;   4.4;   2.2;   10;   3.9;   7;    0.000;   6;   7.7;   4.1;  952.00;   -4.0;   90.00;   -3.2;   -4.8;   -5.2;eor
       3379;20100112;   10;   7.2;   2.2;   10;   0.0;   7;    3.100;  15;   6.9;   4.1;  950.90;   -3.5;   88.00;   -1.0;   -5.9;   -6.7;eor
       3379;20100113;   10;   4.7;   2.0;   10;   2.7;   7;    0.000;  13;   7.8;   3.8;  945.70;   -5.1;   92.00;   -2.9;   -7.1;   -6.9;eor
       3379;20100114;   10;   7.0;   2.4;   10;   0.0;   0;    2.800;  14;   7.1;   4.6;  946.60;   -2.2;   89.00;    0.6;   -3.7;   -3.8;eor
